,date,apartment for rent,State
71,2009-12-01,45,MN
72,2010-01-01,61,MN
73,2010-02-01,50,MN
74,2010-03-01,46,MN
75,2010-04-01,34,MN
76,2010-05-01,66,MN
77,2010-06-01,44,MN
78,2010-07-01,47,MN
79,2010-08-01,43,MN
80,2010-09-01,36,MN
81,2010-10-01,47,MN
82,2010-11-01,19,MN
83,2010-12-01,52,MN
84,2011-01-01,49,MN
85,2011-02-01,44,MN
86,2011-03-01,57,MN
87,2011-04-01,39,MN
88,2011-05-01,49,MN
89,2011-06-01,26,MN
90,2011-07-01,33,MN
91,2011-08-01,31,MN
92,2011-09-01,28,MN
93,2011-10-01,24,MN
94,2011-11-01,35,MN
95,2011-12-01,22,MN
96,2012-01-01,27,MN
97,2012-02-01,29,MN
98,2012-03-01,31,MN
99,2012-04-01,46,MN
100,2012-05-01,48,MN
101,2012-06-01,34,MN
102,2012-07-01,41,MN
103,2012-08-01,49,MN
104,2012-09-01,30,MN
105,2012-10-01,34,MN
106,2012-11-01,32,MN
107,2012-12-01,20,MN
108,2013-01-01,48,MN
109,2013-02-01,41,MN
110,2013-03-01,53,MN
111,2013-04-01,46,MN
112,2013-05-01,35,MN
113,2013-06-01,60,MN
114,2013-07-01,44,MN
115,2013-08-01,35,MN
116,2013-09-01,40,MN
117,2013-10-01,44,MN
118,2013-11-01,32,MN
119,2013-12-01,32,MN
120,2014-01-01,43,MN
121,2014-02-01,53,MN
122,2014-03-01,59,MN
123,2014-04-01,57,MN
124,2014-05-01,47,MN
125,2014-06-01,43,MN
126,2014-07-01,68,MN
127,2014-08-01,51,MN
128,2014-09-01,53,MN
129,2014-10-01,43,MN
130,2014-11-01,37,MN
131,2014-12-01,35,MN
132,2015-01-01,46,MN
133,2015-02-01,57,MN
134,2015-03-01,55,MN
135,2015-04-01,42,MN
136,2015-05-01,48,MN
137,2015-06-01,55,MN
138,2015-07-01,59,MN
139,2015-08-01,66,MN
140,2015-09-01,55,MN
141,2015-10-01,45,MN
142,2015-11-01,37,MN
143,2015-12-01,45,MN
144,2016-01-01,61,MN
145,2016-02-01,39,MN
146,2016-03-01,59,MN
147,2016-04-01,47,MN
148,2016-05-01,66,MN
149,2016-06-01,60,MN
150,2016-07-01,46,MN
151,2016-08-01,51,MN
152,2016-09-01,55,MN
153,2016-10-01,46,MN
154,2016-11-01,42,MN
155,2016-12-01,35,MN
156,2017-01-01,52,MN
157,2017-02-01,41,MN
158,2017-03-01,62,MN
159,2017-04-01,52,MN
160,2017-05-01,45,MN
161,2017-06-01,66,MN
162,2017-07-01,54,MN
163,2017-08-01,58,MN
164,2017-09-01,49,MN
165,2017-10-01,42,MN
166,2017-11-01,44,MN
167,2017-12-01,41,MN
168,2018-01-01,52,MN
169,2018-02-01,52,MN
170,2018-03-01,49,MN
171,2018-04-01,63,MN
172,2018-05-01,56,MN
173,2018-06-01,66,MN
174,2018-07-01,68,MN
175,2018-08-01,60,MN
176,2018-09-01,57,MN
177,2018-10-01,43,MN
178,2018-11-01,43,MN
179,2018-12-01,44,MN
180,2019-01-01,58,MN
181,2019-02-01,50,MN
182,2019-03-01,62,MN
183,2019-04-01,64,MN
184,2019-05-01,57,MN
185,2019-06-01,61,MN
186,2019-07-01,58,MN
187,2019-08-01,62,MN
188,2019-09-01,43,MN
189,2019-10-01,41,MN
190,2019-11-01,56,MN
191,2019-12-01,39,MN
192,2020-01-01,60,MN
193,2020-02-01,61,MN
194,2020-03-01,44,MN
195,2020-04-01,47,MN
196,2020-05-01,70,MN
197,2020-06-01,65,MN
198,2020-07-01,60,MN
199,2020-08-01,52,MN
200,2020-09-01,53,MN
201,2020-10-01,45,MN
202,2020-11-01,36,MN
203,2020-12-01,42,MN
204,2004-01-01,0,AZ
205,2004-02-01,0,AZ
206,2004-03-01,0,AZ
207,2004-04-01,100,AZ
208,2004-05-01,0,AZ
209,2004-06-01,44,AZ
210,2004-07-01,0,AZ
211,2004-08-01,0,AZ
212,2004-09-01,50,AZ
213,2004-10-01,0,AZ
214,2004-11-01,0,AZ
215,2004-12-01,80,AZ
216,2005-01-01,68,AZ
217,2005-02-01,0,AZ
218,2005-03-01,0,AZ
219,2005-04-01,0,AZ
220,2005-05-01,40,AZ
221,2005-06-01,50,AZ
222,2005-07-01,66,AZ
223,2005-08-01,22,AZ
224,2005-09-01,0,AZ
225,2005-10-01,0,AZ
226,2005-11-01,0,AZ
227,2005-12-01,0,AZ
228,2006-01-01,64,AZ
229,2006-02-01,20,AZ
230,2006-03-01,53,AZ
231,2006-04-01,61,AZ
232,2006-05-01,29,AZ
233,2006-06-01,0,AZ
234,2006-07-01,44,AZ
235,2006-08-01,76,AZ
236,2006-09-01,43,AZ
237,2006-10-01,49,AZ
238,2006-11-01,23,AZ
239,2006-12-01,34,AZ
240,2007-01-01,44,AZ
241,2007-02-01,40,AZ
242,2007-03-01,45,AZ
243,2007-04-01,42,AZ
244,2007-05-01,39,AZ
245,2007-06-01,30,AZ
246,2007-07-01,48,AZ
247,2007-08-01,61,AZ
248,2007-09-01,30,AZ
249,2007-10-01,0,AZ
250,2007-11-01,28,AZ
251,2007-12-01,47,AZ
252,2008-01-01,76,AZ
253,2008-02-01,37,AZ
254,2008-03-01,47,AZ
255,2008-04-01,37,AZ
256,2008-05-01,31,AZ
257,2008-06-01,29,AZ
258,2008-07-01,50,AZ
259,2008-08-01,56,AZ
260,2008-09-01,42,AZ
261,2008-10-01,49,AZ
262,2008-11-01,35,AZ
263,2008-12-01,62,AZ
264,2009-01-01,27,AZ
265,2009-02-01,21,AZ
266,2009-03-01,36,AZ
267,2009-04-01,45,AZ
268,2009-05-01,46,AZ
269,2009-06-01,49,AZ
270,2009-07-01,64,AZ
271,2009-08-01,50,AZ
272,2009-09-01,39,AZ
273,2009-10-01,59,AZ
274,2009-11-01,15,AZ
275,2009-12-01,52,AZ
276,2010-01-01,61,AZ
277,2010-02-01,51,AZ
278,2010-03-01,54,AZ
279,2010-04-01,53,AZ
280,2010-05-01,51,AZ
281,2010-06-01,88,AZ
282,2010-07-01,24,AZ
283,2010-08-01,43,AZ
284,2010-09-01,47,AZ
285,2010-10-01,52,AZ
286,2010-11-01,48,AZ
287,2010-12-01,67,AZ
288,2011-01-01,75,AZ
289,2011-02-01,42,AZ
290,2011-03-01,54,AZ
291,2011-04-01,54,AZ
292,2011-05-01,46,AZ
293,2011-06-01,67,AZ
294,2011-07-01,50,AZ
295,2011-08-01,62,AZ
296,2011-09-01,36,AZ
297,2011-10-01,36,AZ
298,2011-11-01,36,AZ
299,2011-12-01,35,AZ
300,2012-01-01,48,AZ
301,2012-02-01,46,AZ
302,2012-03-01,44,AZ
303,2012-04-01,47,AZ
304,2012-05-01,55,AZ
305,2012-06-01,61,AZ
306,2012-07-01,57,AZ
307,2012-08-01,43,AZ
308,2012-09-01,32,AZ
309,2012-10-01,36,AZ
310,2012-11-01,32,AZ
311,2012-12-01,32,AZ
312,2013-01-01,49,AZ
313,2013-02-01,40,AZ
314,2013-03-01,47,AZ
315,2013-04-01,51,AZ
316,2013-05-01,54,AZ
317,2013-06-01,50,AZ
318,2013-07-01,55,AZ
319,2013-08-01,40,AZ
320,2013-09-01,47,AZ
321,2013-10-01,43,AZ
322,2013-11-01,44,AZ
323,2013-12-01,46,AZ
324,2014-01-01,61,AZ
325,2014-02-01,54,AZ
326,2014-03-01,56,AZ
327,2014-04-01,64,AZ
328,2014-05-01,68,AZ
329,2014-06-01,55,AZ
330,2014-07-01,55,AZ
331,2014-08-01,59,AZ
332,2014-09-01,45,AZ
333,2014-10-01,60,AZ
334,2014-11-01,33,AZ
335,2014-12-01,50,AZ
336,2015-01-01,71,AZ
337,2015-02-01,69,AZ
338,2015-03-01,53,AZ
339,2015-04-01,62,AZ
340,2015-05-01,56,AZ
341,2015-06-01,64,AZ
342,2015-07-01,56,AZ
343,2015-08-01,60,AZ
344,2015-09-01,54,AZ
345,2015-10-01,52,AZ
346,2015-11-01,45,AZ
347,2015-12-01,47,AZ
348,2016-01-01,59,AZ
349,2016-02-01,51,AZ
350,2016-03-01,62,AZ
351,2016-04-01,65,AZ
352,2016-05-01,49,AZ
353,2016-06-01,46,AZ
354,2016-07-01,72,AZ
355,2016-08-01,56,AZ
356,2016-09-01,57,AZ
357,2016-10-01,46,AZ
358,2016-11-01,41,AZ
359,2016-12-01,36,AZ
360,2017-01-01,57,AZ
361,2017-02-01,57,AZ
362,2017-03-01,52,AZ
363,2017-04-01,44,AZ
364,2017-05-01,56,AZ
365,2017-06-01,61,AZ
366,2017-07-01,57,AZ
367,2017-08-01,49,AZ
368,2017-09-01,46,AZ
369,2017-10-01,45,AZ
370,2017-11-01,39,AZ
371,2017-12-01,51,AZ
372,2018-01-01,62,AZ
373,2018-02-01,45,AZ
374,2018-03-01,63,AZ
375,2018-04-01,46,AZ
376,2018-05-01,53,AZ
377,2018-06-01,50,AZ
378,2018-07-01,67,AZ
379,2018-08-01,60,AZ
380,2018-09-01,45,AZ
381,2018-10-01,34,AZ
382,2018-11-01,48,AZ
383,2018-12-01,43,AZ
384,2019-01-01,47,AZ
385,2019-02-01,45,AZ
386,2019-03-01,67,AZ
387,2019-04-01,55,AZ
388,2019-05-01,61,AZ
389,2019-06-01,65,AZ
390,2019-07-01,68,AZ
391,2019-08-01,57,AZ
392,2019-09-01,62,AZ
393,2019-10-01,52,AZ
394,2019-11-01,50,AZ
395,2019-12-01,48,AZ
396,2020-01-01,47,AZ
397,2020-02-01,58,AZ
398,2020-03-01,58,AZ
399,2020-04-01,50,AZ
400,2020-05-01,54,AZ
401,2020-06-01,51,AZ
402,2020-07-01,71,AZ
403,2020-08-01,52,AZ
404,2020-09-01,56,AZ
405,2020-10-01,60,AZ
406,2020-11-01,51,AZ
407,2020-12-01,47,AZ
408,2004-01-01,0,WA
409,2004-02-01,0,WA
410,2004-03-01,0,WA
411,2004-04-01,63,WA
412,2004-05-01,0,WA
413,2004-06-01,27,WA
414,2004-07-01,0,WA
415,2004-08-01,60,WA
416,2004-09-01,0,WA
417,2004-10-01,0,WA
418,2004-11-01,36,WA
419,2004-12-01,35,WA
420,2005-01-01,0,WA
421,2005-02-01,32,WA
422,2005-03-01,0,WA
423,2005-04-01,100,WA
424,2005-05-01,24,WA
425,2005-06-01,12,WA
426,2005-07-01,26,WA
427,2005-08-01,64,WA
428,2005-09-01,38,WA
429,2005-10-01,13,WA
430,2005-11-01,10,WA
431,2005-12-01,0,WA
432,2006-01-01,69,WA
433,2006-02-01,20,WA
434,2006-03-01,9,WA
435,2006-04-01,39,WA
436,2006-05-01,24,WA
437,2006-06-01,48,WA
438,2006-07-01,36,WA
439,2006-08-01,10,WA
440,2006-09-01,52,WA
441,2006-10-01,34,WA
442,2006-11-01,15,WA
443,2006-12-01,41,WA
444,2007-01-01,15,WA
445,2007-02-01,28,WA
446,2007-03-01,10,WA
447,2007-04-01,15,WA
448,2007-05-01,20,WA
449,2007-06-01,26,WA
450,2007-07-01,30,WA
451,2007-08-01,31,WA
452,2007-09-01,26,WA
453,2007-10-01,22,WA
454,2007-11-01,16,WA
455,2007-12-01,28,WA
456,2008-01-01,26,WA
457,2008-02-01,24,WA
458,2008-03-01,34,WA
459,2008-04-01,32,WA
460,2008-05-01,44,WA
461,2008-06-01,33,WA
462,2008-07-01,21,WA
463,2008-08-01,31,WA
464,2008-09-01,37,WA
465,2008-10-01,31,WA
466,2008-11-01,35,WA
467,2008-12-01,31,WA
468,2009-01-01,34,WA
469,2009-02-01,35,WA
470,2009-03-01,18,WA
471,2009-04-01,20,WA
472,2009-05-01,46,WA
473,2009-06-01,32,WA
474,2009-07-01,39,WA
475,2009-08-01,43,WA
476,2009-09-01,36,WA
477,2009-10-01,38,WA
478,2009-11-01,23,WA
479,2009-12-01,22,WA
480,2010-01-01,28,WA
481,2010-02-01,52,WA
482,2010-03-01,35,WA
483,2010-04-01,51,WA
484,2010-05-01,32,WA
485,2010-06-01,50,WA
486,2010-07-01,36,WA
487,2010-08-01,57,WA
488,2010-09-01,37,WA
489,2010-10-01,40,WA
490,2010-11-01,27,WA
491,2010-12-01,33,WA
492,2011-01-01,35,WA
493,2011-02-01,21,WA
494,2011-03-01,31,WA
495,2011-04-01,37,WA
496,2011-05-01,18,WA
497,2011-06-01,31,WA
498,2011-07-01,31,WA
499,2011-08-01,27,WA
500,2011-09-01,31,WA
501,2011-10-01,31,WA
502,2011-11-01,23,WA
503,2011-12-01,24,WA
504,2012-01-01,22,WA
505,2012-02-01,28,WA
506,2012-03-01,31,WA
507,2012-04-01,34,WA
508,2012-05-01,27,WA
509,2012-06-01,27,WA
510,2012-07-01,30,WA
511,2012-08-01,31,WA
512,2012-09-01,25,WA
513,2012-10-01,22,WA
514,2012-11-01,14,WA
515,2012-12-01,21,WA
516,2013-01-01,34,WA
517,2013-02-01,33,WA
518,2013-03-01,30,WA
519,2013-04-01,35,WA
520,2013-05-01,32,WA
521,2013-06-01,32,WA
522,2013-07-01,36,WA
523,2013-08-01,42,WA
524,2013-09-01,40,WA
525,2013-10-01,29,WA
526,2013-11-01,25,WA
527,2013-12-01,22,WA
528,2014-01-01,35,WA
529,2014-02-01,32,WA
530,2014-03-01,40,WA
531,2014-04-01,33,WA
532,2014-05-01,47,WA
533,2014-06-01,39,WA
534,2014-07-01,44,WA
535,2014-08-01,42,WA
536,2014-09-01,44,WA
537,2014-10-01,29,WA
538,2014-11-01,35,WA
539,2014-12-01,27,WA
540,2015-01-01,41,WA
541,2015-02-01,40,WA
542,2015-03-01,42,WA
543,2015-04-01,50,WA
544,2015-05-01,49,WA
545,2015-06-01,50,WA
546,2015-07-01,41,WA
547,2015-08-01,41,WA
548,2015-09-01,44,WA
549,2015-10-01,37,WA
550,2015-11-01,32,WA
551,2015-12-01,30,WA
552,2016-01-01,42,WA
553,2016-02-01,49,WA
554,2016-03-01,50,WA
555,2016-04-01,46,WA
556,2016-05-01,53,WA
557,2016-06-01,46,WA
558,2016-07-01,48,WA
559,2016-08-01,42,WA
560,2016-09-01,46,WA
561,2016-10-01,38,WA
562,2016-11-01,39,WA
563,2016-12-01,38,WA
564,2017-01-01,43,WA
565,2017-02-01,46,WA
566,2017-03-01,40,WA
567,2017-04-01,49,WA
568,2017-05-01,47,WA
569,2017-06-01,45,WA
570,2017-07-01,47,WA
571,2017-08-01,42,WA
572,2017-09-01,47,WA
573,2017-10-01,36,WA
574,2017-11-01,36,WA
575,2017-12-01,27,WA
576,2018-01-01,48,WA
577,2018-02-01,44,WA
578,2018-03-01,45,WA
579,2018-04-01,46,WA
580,2018-05-01,48,WA
581,2018-06-01,51,WA
582,2018-07-01,45,WA
583,2018-08-01,47,WA
584,2018-09-01,40,WA
585,2018-10-01,37,WA
586,2018-11-01,33,WA
587,2018-12-01,29,WA
588,2019-01-01,37,WA
589,2019-02-01,34,WA
590,2019-03-01,47,WA
591,2019-04-01,44,WA
592,2019-05-01,45,WA
593,2019-06-01,51,WA
594,2019-07-01,48,WA
595,2019-08-01,40,WA
596,2019-09-01,39,WA
597,2019-10-01,40,WA
598,2019-11-01,38,WA
599,2019-12-01,35,WA
600,2020-01-01,44,WA
601,2020-02-01,45,WA
602,2020-03-01,34,WA
603,2020-04-01,39,WA
604,2020-05-01,39,WA
605,2020-06-01,46,WA
606,2020-07-01,48,WA
607,2020-08-01,46,WA
608,2020-09-01,42,WA
609,2020-10-01,43,WA
610,2020-11-01,35,WA
611,2020-12-01,40,WA
612,2004-01-01,0,WV
613,2004-02-01,0,WV
614,2004-03-01,59,WV
615,2004-04-01,0,WV
616,2004-05-01,0,WV
617,2004-06-01,77,WV
618,2004-07-01,69,WV
619,2004-08-01,0,WV
620,2004-09-01,47,WV
621,2004-10-01,30,WV
622,2004-11-01,0,WV
623,2004-12-01,0,WV
624,2005-01-01,0,WV
625,2005-02-01,0,WV
626,2005-03-01,0,WV
627,2005-04-01,0,WV
628,2005-05-01,33,WV
629,2005-06-01,100,WV
630,2005-07-01,90,WV
631,2005-08-01,0,WV
632,2005-09-01,0,WV
633,2005-10-01,0,WV
634,2005-11-01,0,WV
635,2005-12-01,0,WV
636,2006-01-01,0,WV
637,2006-02-01,0,WV
638,2006-03-01,19,WV
639,2006-04-01,0,WV
640,2006-05-01,0,WV
641,2006-06-01,0,WV
642,2006-07-01,0,WV
643,2006-08-01,0,WV
644,2006-09-01,0,WV
645,2006-10-01,0,WV
646,2006-11-01,0,WV
647,2006-12-01,0,WV
648,2007-01-01,14,WV
649,2007-02-01,0,WV
650,2007-03-01,21,WV
651,2007-04-01,0,WV
652,2007-05-01,0,WV
653,2007-06-01,22,WV
654,2007-07-01,0,WV
655,2007-08-01,0,WV
656,2007-09-01,0,WV
657,2007-10-01,0,WV
658,2007-11-01,0,WV
659,2007-12-01,11,WV
660,2008-01-01,40,WV
661,2008-02-01,14,WV
662,2008-03-01,0,WV
663,2008-04-01,25,WV
664,2008-05-01,0,WV
665,2008-06-01,14,WV
666,2008-07-01,41,WV
667,2008-08-01,0,WV
668,2008-09-01,0,WV
669,2008-10-01,0,WV
670,2008-11-01,0,WV
671,2008-12-01,0,WV
672,2009-01-01,0,WV
673,2009-02-01,0,WV
674,2009-03-01,0,WV
675,2009-04-01,11,WV
676,2009-05-01,0,WV
677,2009-06-01,0,WV
678,2009-07-01,11,WV
679,2009-08-01,0,WV
680,2009-09-01,17,WV
681,2009-10-01,0,WV
682,2009-11-01,9,WV
683,2009-12-01,0,WV
684,2010-01-01,0,WV
685,2010-02-01,0,WV
686,2010-03-01,15,WV
687,2010-04-01,14,WV
688,2010-05-01,0,WV
689,2010-06-01,11,WV
690,2010-07-01,10,WV
691,2010-08-01,0,WV
692,2010-09-01,13,WV
693,2010-10-01,0,WV
694,2010-11-01,0,WV
695,2010-12-01,0,WV
696,2011-01-01,9,WV
697,2011-02-01,0,WV
698,2011-03-01,0,WV
699,2011-04-01,0,WV
700,2011-05-01,7,WV
701,2011-06-01,9,WV
702,2011-07-01,5,WV
703,2011-08-01,0,WV
704,2011-09-01,4,WV
705,2011-10-01,7,WV
706,2011-11-01,3,WV
707,2011-12-01,4,WV
708,2012-01-01,3,WV
709,2012-02-01,7,WV
710,2012-03-01,6,WV
711,2012-04-01,0,WV
712,2012-05-01,16,WV
713,2012-06-01,0,WV
714,2012-07-01,5,WV
715,2012-08-01,6,WV
716,2012-09-01,6,WV
717,2012-10-01,2,WV
718,2012-11-01,0,WV
719,2012-12-01,2,WV
720,2013-01-01,6,WV
721,2013-02-01,4,WV
722,2013-03-01,7,WV
723,2013-04-01,4,WV
724,2013-05-01,2,WV
725,2013-06-01,0,WV
726,2013-07-01,5,WV
727,2013-08-01,5,WV
728,2013-09-01,0,WV
729,2013-10-01,2,WV
730,2013-11-01,5,WV
731,2013-12-01,4,WV
732,2014-01-01,3,WV
733,2014-02-01,5,WV
734,2014-03-01,5,WV
735,2014-04-01,3,WV
736,2014-05-01,8,WV
737,2014-06-01,2,WV
738,2014-07-01,6,WV
739,2014-08-01,9,WV
740,2014-09-01,5,WV
741,2014-10-01,7,WV
742,2014-11-01,5,WV
743,2014-12-01,4,WV
744,2015-01-01,4,WV
745,2015-02-01,4,WV
746,2015-03-01,8,WV
747,2015-04-01,7,WV
748,2015-05-01,5,WV
749,2015-06-01,6,WV
750,2015-07-01,7,WV
751,2015-08-01,4,WV
752,2015-09-01,5,WV
753,2015-10-01,0,WV
754,2015-11-01,0,WV
755,2015-12-01,5,WV
756,2016-01-01,3,WV
757,2016-02-01,4,WV
758,2016-03-01,5,WV
759,2016-04-01,6,WV
760,2016-05-01,0,WV
761,2016-06-01,5,WV
762,2016-07-01,5,WV
763,2016-08-01,4,WV
764,2016-09-01,9,WV
765,2016-10-01,4,WV
766,2016-11-01,5,WV
767,2016-12-01,4,WV
768,2017-01-01,3,WV
769,2017-02-01,6,WV
770,2017-03-01,8,WV
771,2017-04-01,5,WV
772,2017-05-01,6,WV
773,2017-06-01,5,WV
774,2017-07-01,9,WV
775,2017-08-01,5,WV
776,2017-09-01,5,WV
777,2017-10-01,5,WV
778,2017-11-01,5,WV
779,2017-12-01,4,WV
780,2018-01-01,4,WV
781,2018-02-01,1,WV
782,2018-03-01,7,WV
783,2018-04-01,4,WV
784,2018-05-01,5,WV
785,2018-06-01,6,WV
786,2018-07-01,5,WV
787,2018-08-01,7,WV
788,2018-09-01,2,WV
789,2018-10-01,9,WV
790,2018-11-01,4,WV
791,2018-12-01,1,WV
792,2019-01-01,7,WV
793,2019-02-01,3,WV
794,2019-03-01,7,WV
795,2019-04-01,4,WV
796,2019-05-01,3,WV
797,2019-06-01,3,WV
798,2019-07-01,5,WV
799,2019-08-01,5,WV
800,2019-09-01,3,WV
801,2019-10-01,6,WV
802,2019-11-01,3,WV
803,2019-12-01,3,WV
804,2020-01-01,6,WV
805,2020-02-01,4,WV
806,2020-03-01,6,WV
807,2020-04-01,3,WV
808,2020-05-01,3,WV
809,2020-06-01,8,WV
810,2020-07-01,6,WV
811,2020-08-01,5,WV
812,2020-09-01,6,WV
813,2020-10-01,6,WV
814,2020-11-01,3,WV
815,2020-12-01,3,WV
816,2004-01-01,0,AL
817,2004-02-01,0,AL
818,2004-03-01,100,AL
819,2004-04-01,0,AL
820,2004-05-01,0,AL
821,2004-06-01,0,AL
822,2004-07-01,0,AL
823,2004-08-01,0,AL
824,2004-09-01,51,AL
825,2004-10-01,0,AL
826,2004-11-01,0,AL
827,2004-12-01,0,AL
828,2005-01-01,0,AL
829,2005-02-01,0,AL
830,2005-03-01,36,AL
831,2005-04-01,0,AL
832,2005-05-01,0,AL
833,2005-06-01,0,AL
834,2005-07-01,37,AL
835,2005-08-01,0,AL
836,2005-09-01,0,AL
837,2005-10-01,0,AL
838,2005-11-01,22,AL
839,2005-12-01,0,AL
840,2006-01-01,27,AL
841,2006-02-01,0,AL
842,2006-03-01,0,AL
843,2006-04-01,0,AL
844,2006-05-01,22,AL
845,2006-06-01,24,AL
846,2006-07-01,44,AL
847,2006-08-01,0,AL
848,2006-09-01,15,AL
849,2006-10-01,25,AL
850,2006-11-01,12,AL
851,2006-12-01,0,AL
852,2007-01-01,30,AL
853,2007-02-01,0,AL
854,2007-03-01,18,AL
855,2007-04-01,13,AL
856,2007-05-01,13,AL
857,2007-06-01,30,AL
858,2007-07-01,24,AL
859,2007-08-01,20,AL
860,2007-09-01,14,AL
861,2007-10-01,8,AL
862,2007-11-01,26,AL
863,2007-12-01,0,AL
864,2008-01-01,14,AL
865,2008-02-01,13,AL
866,2008-03-01,0,AL
867,2008-04-01,0,AL
868,2008-05-01,16,AL
869,2008-06-01,24,AL
870,2008-07-01,0,AL
871,2008-08-01,0,AL
872,2008-09-01,19,AL
873,2008-10-01,0,AL
874,2008-11-01,0,AL
875,2008-12-01,0,AL
876,2009-01-01,26,AL
877,2009-02-01,0,AL
878,2009-03-01,16,AL
879,2009-04-01,39,AL
880,2009-05-01,24,AL
881,2009-06-01,37,AL
882,2009-07-01,25,AL
883,2009-08-01,15,AL
884,2009-09-01,14,AL
885,2009-10-01,12,AL
886,2009-11-01,16,AL
887,2009-12-01,30,AL
888,2010-01-01,27,AL
889,2010-02-01,13,AL
890,2010-03-01,22,AL
891,2010-04-01,0,AL
892,2010-05-01,20,AL
893,2010-06-01,36,AL
894,2010-07-01,18,AL
895,2010-08-01,22,AL
896,2010-09-01,17,AL
897,2010-10-01,9,AL
898,2010-11-01,12,AL
899,2010-12-01,10,AL
900,2011-01-01,14,AL
901,2011-02-01,15,AL
902,2011-03-01,14,AL
903,2011-04-01,15,AL
904,2011-05-01,15,AL
905,2011-06-01,31,AL
906,2011-07-01,17,AL
907,2011-08-01,8,AL
908,2011-09-01,9,AL
909,2011-10-01,11,AL
910,2011-11-01,7,AL
911,2011-12-01,14,AL
912,2012-01-01,16,AL
913,2012-02-01,16,AL
914,2012-03-01,6,AL
915,2012-04-01,22,AL
916,2012-05-01,18,AL
917,2012-06-01,9,AL
918,2012-07-01,14,AL
919,2012-08-01,17,AL
920,2012-09-01,14,AL
921,2012-10-01,11,AL
922,2012-11-01,6,AL
923,2012-12-01,11,AL
924,2013-01-01,13,AL
925,2013-02-01,18,AL
926,2013-03-01,15,AL
927,2013-04-01,13,AL
928,2013-05-01,18,AL
929,2013-06-01,16,AL
930,2013-07-01,15,AL
931,2013-08-01,19,AL
932,2013-09-01,9,AL
933,2013-10-01,19,AL
934,2013-11-01,17,AL
935,2013-12-01,12,AL
936,2014-01-01,19,AL
937,2014-02-01,17,AL
938,2014-03-01,12,AL
939,2014-04-01,16,AL
940,2014-05-01,21,AL
941,2014-06-01,23,AL
942,2014-07-01,23,AL
943,2014-08-01,18,AL
944,2014-09-01,19,AL
945,2014-10-01,16,AL
946,2014-11-01,19,AL
947,2014-12-01,14,AL
948,2015-01-01,10,AL
949,2015-02-01,17,AL
950,2015-03-01,30,AL
951,2015-04-01,25,AL
952,2015-05-01,17,AL
953,2015-06-01,16,AL
954,2015-07-01,22,AL
955,2015-08-01,17,AL
956,2015-09-01,12,AL
957,2015-10-01,14,AL
958,2015-11-01,16,AL
959,2015-12-01,15,AL
960,2016-01-01,16,AL
961,2016-02-01,14,AL
962,2016-03-01,18,AL
963,2016-04-01,16,AL
964,2016-05-01,23,AL
965,2016-06-01,20,AL
966,2016-07-01,17,AL
967,2016-08-01,21,AL
968,2016-09-01,15,AL
969,2016-10-01,10,AL
970,2016-11-01,16,AL
971,2016-12-01,17,AL
972,2017-01-01,16,AL
973,2017-02-01,14,AL
974,2017-03-01,14,AL
975,2017-04-01,17,AL
976,2017-05-01,14,AL
977,2017-06-01,21,AL
978,2017-07-01,21,AL
979,2017-08-01,15,AL
980,2017-09-01,17,AL
981,2017-10-01,15,AL
982,2017-11-01,13,AL
