date,house for rent,State,DMA,Full
2008-11-01,31,AL,Birmingham ,Birmingham AL
2008-12-01,62,AL,Birmingham ,Birmingham AL
2009-01-01,32,AL,Birmingham ,Birmingham AL
2009-02-01,31,AL,Birmingham ,Birmingham AL
2009-03-01,21,AL,Birmingham ,Birmingham AL
2009-04-01,21,AL,Birmingham ,Birmingham AL
2009-05-01,25,AL,Birmingham ,Birmingham AL
2009-06-01,32,AL,Birmingham ,Birmingham AL
2009-07-01,15,AL,Birmingham ,Birmingham AL
2009-08-01,35,AL,Birmingham ,Birmingham AL
2009-09-01,34,AL,Birmingham ,Birmingham AL
2009-10-01,27,AL,Birmingham ,Birmingham AL
2009-11-01,10,AL,Birmingham ,Birmingham AL
2009-12-01,36,AL,Birmingham ,Birmingham AL
2010-01-01,37,AL,Birmingham ,Birmingham AL
2010-02-01,18,AL,Birmingham ,Birmingham AL
2010-03-01,23,AL,Birmingham ,Birmingham AL
2010-04-01,35,AL,Birmingham ,Birmingham AL
2010-05-01,34,AL,Birmingham ,Birmingham AL
2010-06-01,42,AL,Birmingham ,Birmingham AL
2010-07-01,37,AL,Birmingham ,Birmingham AL
2010-08-01,46,AL,Birmingham ,Birmingham AL
2010-09-01,74,AL,Birmingham ,Birmingham AL
2010-10-01,13,AL,Birmingham ,Birmingham AL
2010-11-01,12,AL,Birmingham ,Birmingham AL
2010-12-01,17,AL,Birmingham ,Birmingham AL
2011-01-01,48,AL,Birmingham ,Birmingham AL
2011-02-01,45,AL,Birmingham ,Birmingham AL
2011-03-01,45,AL,Birmingham ,Birmingham AL
2011-04-01,32,AL,Birmingham ,Birmingham AL
2011-05-01,28,AL,Birmingham ,Birmingham AL
2011-06-01,49,AL,Birmingham ,Birmingham AL
2011-07-01,57,AL,Birmingham ,Birmingham AL
2011-08-01,27,AL,Birmingham ,Birmingham AL
2011-09-01,16,AL,Birmingham ,Birmingham AL
2011-10-01,31,AL,Birmingham ,Birmingham AL
2011-11-01,23,AL,Birmingham ,Birmingham AL
2011-12-01,22,AL,Birmingham ,Birmingham AL
2012-01-01,40,AL,Birmingham ,Birmingham AL
2012-02-01,35,AL,Birmingham ,Birmingham AL
2012-03-01,33,AL,Birmingham ,Birmingham AL
2012-04-01,32,AL,Birmingham ,Birmingham AL
2012-05-01,26,AL,Birmingham ,Birmingham AL
2012-06-01,29,AL,Birmingham ,Birmingham AL
2012-07-01,44,AL,Birmingham ,Birmingham AL
2012-08-01,29,AL,Birmingham ,Birmingham AL
2012-09-01,41,AL,Birmingham ,Birmingham AL
2012-10-01,27,AL,Birmingham ,Birmingham AL
2012-11-01,26,AL,Birmingham ,Birmingham AL
2012-12-01,33,AL,Birmingham ,Birmingham AL
2013-01-01,32,AL,Birmingham ,Birmingham AL
2013-02-01,30,AL,Birmingham ,Birmingham AL
2013-03-01,32,AL,Birmingham ,Birmingham AL
2013-04-01,21,AL,Birmingham ,Birmingham AL
2013-05-01,45,AL,Birmingham ,Birmingham AL
2013-06-01,28,AL,Birmingham ,Birmingham AL
2013-07-01,37,AL,Birmingham ,Birmingham AL
2013-08-01,28,AL,Birmingham ,Birmingham AL
2013-09-01,26,AL,Birmingham ,Birmingham AL
2013-10-01,26,AL,Birmingham ,Birmingham AL
2013-11-01,29,AL,Birmingham ,Birmingham AL
2013-12-01,35,AL,Birmingham ,Birmingham AL
2014-01-01,42,AL,Birmingham ,Birmingham AL
2014-02-01,39,AL,Birmingham ,Birmingham AL
2014-03-01,48,AL,Birmingham ,Birmingham AL
2014-04-01,23,AL,Birmingham ,Birmingham AL
2014-05-01,39,AL,Birmingham ,Birmingham AL
2014-06-01,35,AL,Birmingham ,Birmingham AL
2014-07-01,35,AL,Birmingham ,Birmingham AL
2014-08-01,18,AL,Birmingham ,Birmingham AL
2014-09-01,30,AL,Birmingham ,Birmingham AL
2014-10-01,30,AL,Birmingham ,Birmingham AL
2014-11-01,28,AL,Birmingham ,Birmingham AL
2014-12-01,35,AL,Birmingham ,Birmingham AL
2015-01-01,41,AL,Birmingham ,Birmingham AL
2015-02-01,31,AL,Birmingham ,Birmingham AL
2015-03-01,41,AL,Birmingham ,Birmingham AL
2015-04-01,40,AL,Birmingham ,Birmingham AL
2015-05-01,51,AL,Birmingham ,Birmingham AL
2015-06-01,32,AL,Birmingham ,Birmingham AL
2015-07-01,44,AL,Birmingham ,Birmingham AL
2015-08-01,39,AL,Birmingham ,Birmingham AL
2015-09-01,41,AL,Birmingham ,Birmingham AL
2015-10-01,32,AL,Birmingham ,Birmingham AL
2015-11-01,32,AL,Birmingham ,Birmingham AL
2015-12-01,29,AL,Birmingham ,Birmingham AL
2016-01-01,52,AL,Birmingham ,Birmingham AL
2016-02-01,44,AL,Birmingham ,Birmingham AL
2016-03-01,40,AL,Birmingham ,Birmingham AL
2016-04-01,46,AL,Birmingham ,Birmingham AL
2016-05-01,46,AL,Birmingham ,Birmingham AL
2016-06-01,47,AL,Birmingham ,Birmingham AL
2016-07-01,43,AL,Birmingham ,Birmingham AL
2016-08-01,36,AL,Birmingham ,Birmingham AL
2016-09-01,34,AL,Birmingham ,Birmingham AL
2016-10-01,39,AL,Birmingham ,Birmingham AL
2016-11-01,27,AL,Birmingham ,Birmingham AL
2016-12-01,24,AL,Birmingham ,Birmingham AL
2017-01-01,37,AL,Birmingham ,Birmingham AL
2017-02-01,42,AL,Birmingham ,Birmingham AL
2017-03-01,40,AL,Birmingham ,Birmingham AL
2017-04-01,35,AL,Birmingham ,Birmingham AL
2017-05-01,40,AL,Birmingham ,Birmingham AL
2017-06-01,49,AL,Birmingham ,Birmingham AL
2017-07-01,50,AL,Birmingham ,Birmingham AL
2017-08-01,41,AL,Birmingham ,Birmingham AL
2017-09-01,37,AL,Birmingham ,Birmingham AL
2017-10-01,35,AL,Birmingham ,Birmingham AL
2017-11-01,33,AL,Birmingham ,Birmingham AL
2017-12-01,35,AL,Birmingham ,Birmingham AL
2018-01-01,45,AL,Birmingham ,Birmingham AL
2018-02-01,43,AL,Birmingham ,Birmingham AL
2018-03-01,51,AL,Birmingham ,Birmingham AL
2018-04-01,53,AL,Birmingham ,Birmingham AL
2018-05-01,42,AL,Birmingham ,Birmingham AL
2018-06-01,46,AL,Birmingham ,Birmingham AL
2018-07-01,54,AL,Birmingham ,Birmingham AL
2018-08-01,42,AL,Birmingham ,Birmingham AL
2018-09-01,40,AL,Birmingham ,Birmingham AL
2018-10-01,35,AL,Birmingham ,Birmingham AL
2018-11-01,44,AL,Birmingham ,Birmingham AL
2018-12-01,35,AL,Birmingham ,Birmingham AL
2019-01-01,46,AL,Birmingham ,Birmingham AL
2019-02-01,36,AL,Birmingham ,Birmingham AL
2019-03-01,55,AL,Birmingham ,Birmingham AL
2019-04-01,56,AL,Birmingham ,Birmingham AL
2019-05-01,39,AL,Birmingham ,Birmingham AL
2019-06-01,51,AL,Birmingham ,Birmingham AL
2019-07-01,42,AL,Birmingham ,Birmingham AL
2019-08-01,53,AL,Birmingham ,Birmingham AL
2019-09-01,34,AL,Birmingham ,Birmingham AL
2019-10-01,34,AL,Birmingham ,Birmingham AL
2019-11-01,34,AL,Birmingham ,Birmingham AL
2019-12-01,32,AL,Birmingham ,Birmingham AL
2020-01-01,52,AL,Birmingham ,Birmingham AL
2020-02-01,41,AL,Birmingham ,Birmingham AL
2020-03-01,35,AL,Birmingham ,Birmingham AL
2020-04-01,39,AL,Birmingham ,Birmingham AL
2020-05-01,49,AL,Birmingham ,Birmingham AL
2020-06-01,52,AL,Birmingham ,Birmingham AL
2020-07-01,51,AL,Birmingham ,Birmingham AL
2020-08-01,46,AL,Birmingham ,Birmingham AL
2020-09-01,40,AL,Birmingham ,Birmingham AL
2020-10-01,35,AL,Birmingham ,Birmingham AL
2020-11-01,39,AL,Birmingham ,Birmingham AL
2020-12-01,29,AL,Birmingham ,Birmingham AL
